title,authors,summaries,page
Magyar népdalok (Magyar remekirók 54. kötet),"Endrődi, Sándor","""Magyar népdalok"" by Sándor Endrődi is a collection of Hungarian folk songs compiled and edited in the early 20th century. This work serves as a showcase of the rich tradition of Hungarian folk poetry, emphasizing the cultural significance and emotional depth of the songs drawn from the nation's heritage. The collection likely reflects a specific period of literary revival and appreciation for folk origins in Hungarian culture, particularly around the time it was published.  The opening of the collection introduces the significance of folk poetry in preserving the essence of the Hungarian spirit, presenting a passionate argument for the importance of this art form as a reflection of national identity. Endrődi shares insights about the folk songs, noting their authenticity, emotional resonance, and connection to the peasantry, which is often overlooked by contemporary writers. The introduction is followed by an array of folk songs, beginning with themes of love and longing, illustrating the depth of feeling embedded in these traditional pieces while also affirming the vital role they play in the fabric of Hungarian culture and literature. (This is an automatically generated summary.)",1
Degré Alajos novellái (2. kötet),"Degré, Alajos","""Degré Alajos novellái (2. kötet)"" by Alajos Degré is a collection of short stories written in the mid-19th century. The work presents various narratives exploring themes of love, ambition, and the complexities of personal relationships, often with a humorous touch. Readers are introduced to a range of characters grappling with social expectations and personal desires in their pursuit of happiness and recognition.  The opening portion of the collection introduces two main characters, Ledéry Otto and Verebesy Imre, who engage in a conversation about their regrets over missed opportunities, particularly relating to wealth and marriage. Otto laments his unmarried status at twenty-seven while pondering his past decisions, and this sparks a discussion on the prospects of love. As their friend prepares to propose to a wealthy woman, the dynamics of friendship, ambition, and social status play out, setting the stage for the humorous and poignant situations that characterize the stories to come. The narrative captures their personalities and societal pressures, creating a relatable foundation for the explorations that follow in the collection. (This is an automatically generated summary.)",1
Degré Alajos novellái (3. kötet),"Degré, Alajos","""Degré Alajos novellái"" by Alajos Degré is a collection of short stories written in the mid-19th century. The work features a variety of characters, with the main focus on Füzesy Ernő, a prominent figure in Pest's fashionable society, as he navigates through life, relationships, and the expectations placed upon him by his father and circumstances.  The opening of the collection introduces readers to Ernő as he reflects on his past and returns to the countryside to manage his inheritance. Overcoming his reluctance, Ernő begins to imbue his estate with life and beauty, converting the neglected property into a vibrant garden and home. Yet, despite his external success and efforts to socialize, he struggles internally with feelings of isolation and seeks deeper connections beyond mere superficial pleasantries, setting the stage for his interaction with the world and the relationships that will unfold throughout the narrative. (This is an automatically generated summary.)",1
A magyar nép művészete (1. kötet): A kalotaszegi magyar nép művészete,"Malonyay, Dezső","""A magyar nép művészete (1. kötet)"" by Dezső Malonyay is a collection of scholarly works focused on Hungarian folk art, written in the early 20th century. This text serves as a comprehensive exploration of the artistic expressions found within various Hungarian communities, particularly examining the cultural and aesthetic significance of folk art and its roots in national identity.   The opening of the work introduces the reader to the author's objective of documenting and preserving the unique artistic expressions found within Hungarian folk culture. Malonyay emphasizes the importance of national identity and the inherent creativity of the Hungarian people, advocating for the need to explore the rich tapestry of folk art that resonates with the spirit of the nation. He reflects on how these artistic expressions have waned under modern influences and stresses the urgency of capturing and appreciating the artistic heritage before it fades away entirely. The text is positioned as a heartfelt invitation to acknowledge and celebrate the vibrant manifestations of Hungarian folk creativity, inviting readers to partake in the examination of folk art's significance as a vital aspect of national culture. (This is an automatically generated summary.)",1
Bálványos-vár: Történeti regény,"Jókai, Mór","""Bálványos-vár: Történeti regény"" by Mór Jókai is a historical novel written in the late 19th century. The narrative likely explores themes of freedom and cultural identity through the lens of the Székely people, focusing on their relationship with neighboring kun tribes during a time of political and social change in Hungary. It introduces readers to significant characters such as Mike Sára, a strong-willed Székely woman, and Kuthen, a kun leader, as they encounter challenges related to leadership, tradition, and the evolving social landscape.  The opening of the novel sets a rich historical context, beginning with a description of the Székely nation’s long-standing autonomy and their unique customs, including their roles as fierce protectors of their territory. It vividly describes the imposing Fergetyűvár, a rotating fortress signaling messages through its windows, showing the military ingenuity of the Székelys. As the narrative unfolds, tensions arise with the arrival of kun tribes seeking passage through Székely lands. Mike Sára emerges as a pivotal character, negotiating a peace treaty with Kuthen while asserting her people's rights and identity. The complexities of their interactions hint at themes of camaraderie, strife, and the struggle for cultural preservation amidst external pressures. (This is an automatically generated summary.)",1
Török világ Magyarországon (1. rész): Történeti regény,"Jókai, Mór","“Török világ Magyarországon (1. rész)” by Mór Jókai is a historical novel written in the late 19th century. The story unfolds during a tumultuous period in Hungary, particularly in Transylvania, showcasing the societal and political upheaval of the era. The narrative focuses on various characters, including a wise prince, a clever and charismatic Hungarian gentleman, and other figures caught in the complex web of allegiances and conflicts during the Turkish influence in the region.  The opening of the novel sets the stage by describing a serene summer night in Cluj, where the prince, Apafi, is captivated by the wonders of astronomy. Accompanied by his court advisors, he becomes intrigued by mysterious cosmic phenomena that disrupt the night's tranquility. As rumors of strange events spread among the townsfolk, the narrative hints at deeper societal tensions and spiritual unease, reflecting a period marked by superstition and prophetic fears. Jókai introduces a variety of characters, including wise priests and clever townspeople, who engage in discussions about omens and the nature of good and evil, foreshadowing the challenges that lie ahead for the inhabitants of this volatile time. (This is an automatically generated summary.)",1
Kenyér és bor: új versek,"Kosztolányi, Dezső","""Kenyér és bor: új versek"" by Dezső Kosztolányi is a collection of poetry written in the early 20th century. The poems reflect on themes of life, love, loss, and the passage of time, intertwining personal experience with broader societal observations. Kosztolányi's work is marked by a deep sense of melancholy and introspection, delving into the human condition and the emotional landscape of existence.  The opening portion of the collection introduces readers to a range of poignant emotions and thoughts. It begins with a dedication to a friend and artist, establishing a personal connection. The first poem evokes feelings of contentment mixed with underlying sorrow, as the speaker reflects on material abundance yet struggles with existential questions. As the verses progress, Kosztolányi explores love, mortality, and memories of youth with vivid imagery and lyrical language. The themes of longing and nostalgia emerge strongly, setting the stage for deeper explorations in the rest of the collection. (This is an automatically generated summary.)",1
Ipolyi Arnold népmesegyüjteménye; Magyar népköltési gyüjtemény 13. kötet,"Ipolyi, Arnold","""Ipolyi Arnold népmesegyüjteménye; Magyar népköltési gyüjtemény 13. kötet"" by Ipolyi is a collection of Hungarian folk tales compiled in the early 20th century. The work serves as an anthology of traditional narratives, drawing upon the rich reservoir of Hungarian folklore, including myths and fables that reflect the cultural values and beliefs of the time. This compilation is part of a broader movement to preserve national literature and heritage during a period of growing interest in folklore studies.  At the start of the collection, the reader is introduced to a variety of folk stories, beginning with the tale of ""Csonkatehén fija,"" which follows the journey of a character born of a unique mother. This narrative illustrates themes of strength, friendship, and adventure as the protagonist encounters various figures like the Fagörbítő (Wood Bender) and engages in contests of strength. The opening reveals a focus on collective narratives where characters unite to confront challenges, showcasing the values of camaraderie and collective effort within Hungarian folklore. Through these stories, the rich tapestry of mythical beings, trials, and moral lessons emerge, setting the stage for a deeper exploration of the tales that follow. (This is an automatically generated summary.)",1
"A jövő század regénye, 1. rész","Jókai, Mór","""A jövő század regénye, 1. rész"" by Mór Jókai is a novel first published in 1872.

Set between 1952 and 2000, this visionary work imagines a future where Hungary faces invasion from an expansionist Russian state called Nihil. A brilliant inventor named Tatrangi Dávid creates revolutionary technologies—flying machines and a miraculous material called ichor—to defend his homeland. When forced into exile at the Danube Delta, he establishes a utopian society that transforms global politics through technological advancement. The narrative blends military conflict with bold predictions about aviation, diplomacy, and international power struggles. (This is an automatically generated summary.)",1
Csongrádmegyei gyüjtés; Magyar népköltési gyüjtemény 2. kötet,"Török, Károly","""Csongrádmegyei gyüjtés; Magyar népköltési gyüjtemény 2. kötet"" by Károly Török is a collection of Hungarian folk poetry and songs compiled in the late 19th century. This volume represents regional folk traditions, primarily focusing on the cultural heritage of Csongrád County. It encompasses an array of ballads, songs, and folk tales, aiming to preserve and share the rich oral traditions of Hungarian culture.  The opening of the collection introduces the context and purpose of the compilation, emphasizing the tireless efforts of the collector, Károly Török, who dedicated his work to the Kisfaludy Society. It outlines the variety of content within the anthology, such as ballads, love songs, and tales that reflect the regional flavors and shared heritage found throughout Csongrád County. The foreword expresses hope for similar collections from other regions, reinforcing the value of folk traditions in maintaining cultural identity and continuity. (This is an automatically generated summary.)",1
Egy haditudósító emlékei : $b 1914 november - 1915 november,"Molnár, Ferenc","""Egy haditudósító emlékei: 1914 november - 1915 november"" by Ferenc Molnár is a historical account written in the early 20th century. The narrative chronicles the experiences of a war correspondent during World War I, capturing the tumultuous atmosphere of the time along with personal observations from the front lines. The book not only documents the events of the war but also delves into the emotions and struggles faced by those involved.  The opening of this work sets the scene in Budapest during a hot summer's day, leading into an unexpected tension as rumors of impending war swirl around the characters. The narrator provides vivid descriptions of the oppressive heat, the mundane chatter of café patrons, and the palpable sense of anticipation in the air. As news of the crisis unfolds, the protagonist reflects on the dramatic shift from a peaceful life to the reality of conflict, painting a picture of the chaotic yet deeply human experiences during this troubling time. The narrative style blends sensory details with a philosophical awareness, hinting at the transformation the war will bring to society and personal lives alike. (This is an automatically generated summary.)",1
Egy naplopó tünődései,"Jerome, Jerome K. (Jerome Klapka)","""Egy naplopó tünődései"" by Jerome K. Jerome is a collection of humorous essays published in 1886. This work features fourteen independent articles exploring everyday topics from idleness and love to cats, babies, and memory. Written in Jerome's characteristic witty style, these reflections on ordinary life helped establish him as a leading English humorist. The essays offer playful observations on human nature and daily experiences, presenting the author's lighthearted philosophy on everything from being hard up to the peculiarities of furnished apartments. (This is an automatically generated summary.)",1
Jocus és Momus,"Jókai, Mór","""Jocus és Momus"" by Mór Jókai is a novel written in the late 19th century. The book appears to explore themes of social life and human quirks through a series of humorous anecdotes involving various characters. It reflects on societal issues, combining lighthearted storytelling with a critique of human behavior, centered around notable figures in Hungarian culture and politics.  The opening of the novel introduces several characters, beginning with Ferencz, an amiable emperor often seen walking the streets of Vienna where he is met with great respect from the public. The narrative then shifts to a clever exchange involving Ferencz and old Tolnay, showcasing their interactions with humor and social commentary. Following this, attention is drawn to the local tavern and its patrons, setting a vibrant scene filled with whimsy. Overall, the beginning effectively immerses the reader in a world of colorful characters and witty dialogues, hinting at the broader social dynamics that will unfold throughout the story. (This is an automatically generated summary.)",1
Tündérkert: Szépasszonyok hosszú farsangja,"Móricz, Zsigmond","""Tündérkert: Szépasszonyok hosszú farsangja"" by Zsigmond Móricz is a historical novel written in the early 20th century. The book is set in the 17th century, focusing on the era of Gábor Báthory, a prince of Transylvania, and his interactions with significant characters, including his wife and various noble figures. The narrative likely explores themes of power, politics, and romance amidst historical turmoil, reflecting on the complexities of personal relationships against a backdrop of shifting loyalties.  The opening of the novel presents a vibrant scene filled with anticipation as townspeople gather outside a grand residence, eagerly awaiting the arrival of the young fejedelemasszony (princess). Through the eyes of a curious doorkeeper, readers are introduced to the characters, including the fejedelem, who displays a youthful charm, and his wife, who enters in a stunning golden gown. The atmosphere is charged with the juxtaposition of courtly elegance and underlying tensions, setting the stage for conflicts that emerge from personal desires and political ambitions. As the chapter unfolds, it becomes clear that the fejedelem's relationships with influential women and the expectations of his role are central to the narrative's development. (This is an automatically generated summary.)",1
Andor: Regény,"Molnár, Ferenc","""Andor: Regény"" by Ferenc Molnár is a novel written in the early 20th century. The story seems to follow the character Andor, a young man navigating his responsibilities and relationships in Budapest, particularly in the context of significant changes in his life, the loss of his parents, and the complexities of young love.   The opening of the novel sets a somber and reflective tone as it introduces Andor during the early hours of dawn, crossing the Margit Bridge from Pest to Buda. Alone and tired, he contemplates the tranquility around him while grappling with his loneliness in the wake of his mother's death and his father's declining health. The narrative then shifts to Andor's home, where he reflects on his past, his relationships, particularly with Turnovszky Ella, and his impending move to a new apartment. As he prepares to leave his childhood home, the emotional weight of farewell looms large, underscored by memories of love, family tension, and the anxiety of stepping into adulthood. With layers of introspection and developing character dynamics, the beginning lays a strong foundation for the narrative's exploration of personal growth and the inevitabilities of life. (This is an automatically generated summary.)",1
Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 3. kötet,"Benedek, Elek, Kriza, János, Orbán, Balázs, Sebesi, Jób","""Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 3. kötet"" by János Kriza et al. is a collection of traditional Hungarian folk poetry and tales written in the late 19th century. This volume is the third in a series published under the auspices of the Kisfaludy Society and consists mainly of folk ballads, songs, and stories gathered from various contributors, reflecting the cultural heritage of the Székely region. The book likely appeals to readers interested in Hungarian folklore, history, and cultural traditions.  The opening of the collection includes a foreword that introduces the compilation's purpose and the contributors involved in its creation. It explains that the material has been curated from the works of notable folk collectors like János Kriza, Balázs Orbán, and Elek Benedek, highlighting the importance of preserving and celebrating folk traditions. The foreword sets a tone of gratitude and enthusiasm for the contributions of both the collectors and the readers, inviting the appreciation of Hungarian folk literature. It also notes the inclusion of various thematic elements within the collection, such as ballads of love and heroism, setting the stage for the rich tapestry of stories and songs that follow. (This is an automatically generated summary.)",1
Báró Podmaniczky Pál és a norvég Biblia: Elbeszélés a 18 nyelvü nagyapáról 77 nyelven és rovásírással,"Kutas, Ilona","""Báró Podmaniczky Pál és a norvég Biblia"" by Ilona Kutas is a multilingual short story and personal narrative that was likely written in the late 20th century. The book reflects on the author's experiences with language, drawing parallels between their exploration of a bilingual Bible and their familial roots, specifically focusing on the legacy of her grandfather, a theological professor fluent in eighteen languages. The narrative weaves together themes of language, culture, and personal growth through its exploration of the significance of a Bible found during a trip to Norway.  In the story, Kutas recounts her emotional journey as she encounters a bilingual Bible in her hotel room in Oslo, which rekindles her childhood memories and connection to her grandfather. As she reads and engages with the text, she finds herself grappling with a moral dilemma when the desire to keep the Bible leads her to consider the act of theft. Through this internal conflict, she reflects on her faith, upbringing, and the importance of her grandfather's teachings. Ultimately, the book serves as a celebration of friendship and cultural exchange, culminating in Kutas’ desire to translate her short story into multiple languages to strengthen those connections. The narrative showcases not just a love for languages but also the bonds that tie people together across different cultures and backgrounds. (This is an automatically generated summary.)",1
Thury Zoltán összes művei (1. kötet): Ketty és egyéb elbeszélések,"Thury, Zoltán","""Thury Zoltán összes művei (1. kötet)"" by Zoltán Thury is a collection of stories likely written in the early 20th century. The compilation includes various narratives that explore different aspects of life, highlighting themes such as social issues, personal struggles, and interpersonal relationships. The stories likely reflect the societal dynamics and challenges of the time, as seen through the eyes of everyday characters.  At the start of the collection, the opening story introduces us to Huber, a new landlord of a rundown apartment building who is focused on collecting rent from his tenants. As he interacts with the landlady, we learn about the struggles of the building’s residents, particularly a poor painter who faces eviction due to unpaid rent. The painter is depicted as a sensitive individual caught in a cycle of financial distress and desperation, expressing thoughts of self-harm. In parallel, a young girl named Ketty, the landlord's daughter, expresses a desire to have her portrait painted, providing a glimpse of hope amid the melancholy. The beginning effectively sets the stage for a deeper exploration of the characters' lives and the societal circumstances surrounding them in the following stories. (This is an automatically generated summary.)",1
"Állatok, emberek és istenek = $b Beasts, men and gods","Ossendowski, Ferdynand Antoni","""Állatok, emberek és istenek"" (Beasts, Men and Gods) by Ferdynand Antoni Ossendowski is a historical account written in the early 20th century. The book chronicles the author's extraordinary escape from revolutionary Russia through Siberia, Mongolia, and Tibet, offering a unique perspective on political upheaval, cultural encounters, and personal survival in times of chaos. It centers on Ossendowski’s perilous journey as he flees the Bolsheviks, highlighting both the harsh realities of the landscape and the people—friends, enemies, and mysterious strangers—he encounters along the way.  The opening of the book introduces us to Ossendowski’s life in Krasnoyarsk, Siberia during the Russian Revolution, where immediate danger forces him to flee into the Siberian wilderness. He describes his desperate escape from Bolshevik soldiers, surviving in the taiga with the help of an enigmatic companion named Ivan. Through encounters with danger, harsh weather, wild animals, and strangers whose motivations are unclear, Ossendowski adapts to a solitary life in nature, punctuated by reflections on both human brutality and resilience. His journey shifts from basic survival—hunting, fishing, building shelter—to navigating war-torn lands, passing through hostile villages and negotiating with suspicious officials. The narrative paints a vivid picture of both the daunting landscapes and the constant threat of violence, setting the stage for a larger exploration of the intersection between civilization, wilderness, and the human spirit. (This is an automatically generated summary.)",1
"A jövő század regénye, 2. rész","Jókai, Mór","""A jövő század regénye, 2. rész"" by Mór Jókai is a novel serialized beginning in 1872. Set between 1952 and 2000, this unconventional work imagines a future where the Hungarian-centered Monarchy faces invasion from an expansionist anarchist state called Nihil. Inventor Tatrangi Dávid's revolutionary technologies—including flying machines and a volcanic material called ichor—become crucial in defending against aggression. The narrative shifts from dystopian warfare to utopian peace as diplomatic and military victories reshape global politics, though the novel's ambitious scope remains debated by literary scholars. (This is an automatically generated summary.)",1
Régi magyar élet,"Móricz, Pál","""Régi magyar élet"" by Pál Móricz is a historical account written in the late 19th century. The narrative revolves around the life of Darvay Dániel, a nobleman born in 1798, detailing his experiences and relationships during turbulent times in Hungarian history, particularly against the backdrop of Napoleonic wars and personal romances. The book provides insights into the societal and cultural dynamics of Hungary during this period.  The opening of the narrative introduces Captain Darvay, born into a wealthy family, educated at home, and then at a notable institution in Debrecen. Despite his academic opportunities, he seems disinterested in scholarly pursuits, instead drawn to the adventurous life of a soldier as reflected in his decision to join the military at a young age. His aspirations lead him to Vienna, where he attempts to enlist in the prestigious Hungarian Guard but faces challenges due to his height. The character's desire for the soldier's life, coupled with personal tribulations regarding his parents' loss, sets the stage for the exploration of his passions, especially his romantic entanglements in Milan, where he spends a significant part of his military career. (This is an automatically generated summary.)",1
Életemből (I. rész): Igaz történetek. Örök emlékek. Humor. Utleirás.,"Jókai, Mór","""Életemből (I. rész)"" by Mór Jókai is a reflective autobiographical account written in the late 19th century. The work captures the author's reminiscences of significant historical events in Hungary, particularly focusing on the revolution of 1848 and the socio-political climate of the time. Jókai, as a prominent figure in the literary and political landscape of Hungary, delves into the struggles of his generation and the aspirations of the Hungarian people for self-determination and reform.  The opening of the narrative presents Jókai reflecting on his past, recounting the transformations in Hungarian society over the previous fifty years and examining the socio-political structures that defined it. He evokes the spirit of the March 15th revolution, emphasizing the urgency for reform and the collective will of the Hungarian youth to fight for national rights. As he introduces key figures, including the poet Petőfi, the text serves both as a historical document and a personal meditation on the intertwining of his life with the fate of his nation, setting the tone for a profound exploration of identity, struggle, and artistic purpose in a tumultuous era. (This is an automatically generated summary.)",1
Gaal György magyar népmese-gyűjteménye (3. kötet),"Gaal, György","""Gaal György magyar népmese-gyűjteménye (3. kötet)"" by György Gaal is a collection of Hungarian folktales published in the mid-19th century. This volume serves as the third part of a series that seeks to preserve and present traditional Hungarian stories, reflecting the culture and values of the time. The work is likely characterized by its rich narrative style and moral lessons, typical of folk literature.  The opening of this collection features a brief introduction by the publishers and outlines the various tales included in the volume. It highlights the importance of preserving national stories and introduces a few specific folktales, each beginning with colorful and imaginative premises, such as encounters with magical beings and princes embarking on adventurous quests. The stories promise to be filled with themes of courage, cleverness, and the struggles between good and evil, inviting readers into the enchanting world of Hungarian folklore. (This is an automatically generated summary.)",2
Zágoni Mikes Kelemen törökországi levelei (2. kötet),"Mikes, Kelemen","""Zágoni Mikes Kelemen törökországi levelei (2. kötet)"" by Kelemen Mikes is a collection of fictional letters written between 1717 and 1758. This second volume continues Mikes's correspondence to an invented countess, written during his exile in Ottoman Turkey following the failed Rákóczi uprising. The letters chronicle the daily struggles of Hungarian exiles in Rodosto, weaving together personal emotional reflections, historical accounts, anecdotes, and descriptions of Turkish customs. Through a conversational style marked by humor and melancholy, Mikes captures the fading hopes of return and eventual resignation to fate. (This is an automatically generated summary.)",2
Népmesék Heves- és Jász-Nagykun-Szolnok-megyéből; Magyar népköltési gyüjtemény 9. kötet,"Berze Nagy, János","""Népmesék Heves- és Jász-Nagykun-Szolnok-megyéből; Magyar népköltési gyüjtemény"" is a collection of Hungarian folk tales edited by Vargha Gyula, published in the early 20th century. This anthology contains traditional stories primarily gathered from the region of Heves County, focusing on a village called Besenyőtelek, and highlights the narrative techniques and cultural significance of these folk tales. The book aims to preserve and celebrate the rich oral storytelling tradition of the Hungarian people, providing both entertainment and insight into their cultural heritage.  At the start of the collection, the preface details the unique qualities of the stories, focusing on the abundance of folk tales collected from a single village, which was uncommon in previous collections. The opening portion introduces several tales featuring common folklore motifs, such as heroes facing mythical creatures, often involving three brothers and various magical challenges. In particular, the first story outlines the journey of three brothers as they embark on a quest, encountering magical beings and overcoming obstacles in their pursuit of love and heroism, embodying the classic structure of Hungarian folk narratives where cunning and bravery prevail. (This is an automatically generated summary.)",2
